path	top_level_tree	size_bytes	reachability	phase2_verdict	phase3_disposition	recommendation_ids	confidence	signals
.devcontainer/devcontainer.json	.devcontainer	738	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
.github/workflows/ci.yml	.github	3026	script-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
.gitignore	root runtime	525	script-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
AUDIT.md	root runtime	10046	test-reachable	stale-content-review	correct-stale-claim	R-06	low	stale-copy-at-same-path-inside-tracked-archive | carries-stale-outbound-references
AUTHENTICATION_CONTRACT.md	root runtime	7041	test-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
CAPABILITY_ASSESSMENT_R11.6.md	root runtime	31640	test-reachable	stale-content-review	correct-stale-claim	R-06	low	carries-stale-outbound-references
CONTRIBUTING.md	root runtime	4972	documentation-referenced	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/README.md	ECM_ActivityHub_Portal	1370	archive-contained	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/config.example.js	ECM_ActivityHub_Portal	1100	config-template	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/index.html	ECM_ActivityHub_Portal	1967	standalone-entrypoint	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/api/client.js	ECM_ActivityHub_Portal	1998	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal	10820	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/core/auth.js	ECM_ActivityHub_Portal	6259	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	(none)
ECM_ActivityHub_Portal/js/core/config.js	ECM_ActivityHub_Portal	2332	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/core/router.js	ECM_ActivityHub_Portal	2180	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/core/store.js	ECM_ActivityHub_Portal	3462	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	stale-copy-at-same-path-inside-tracked-archive
ECM_ActivityHub_Portal/js/data/demo.js	ECM_ActivityHub_Portal	3934	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/events/bindings.js	ECM_ActivityHub_Portal	991	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/main.js	ECM_ActivityHub_Portal	1068	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/ai.js	ECM_ActivityHub_Portal	328	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/approvals.js	ECM_ActivityHub_Portal	991	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/bootstrap.js	ECM_ActivityHub_Portal	1270	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/briefs.js	ECM_ActivityHub_Portal	1916	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/correspondence.js	ECM_ActivityHub_Portal	2343	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/decisions.js	ECM_ActivityHub_Portal	1059	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
ECM_ActivityHub_Portal/js/services/inbox.js	ECM_ActivityHub_Portal	1694	runtime-reachable	no-duplicate-or-obsolescence-signal	keep-as-is	(none)	high	byte-identical-copy-inside-tracked-archive
