archive	blocker	line	kind	blocking	quote
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	45	documentation-mention	no	With the 13 missing config modules restored from `ECM_DOCS_DEV.zip`, a headless Chromium boot produced `window.__DGO_BOOTED__ === true`, a mounted `<dgo-shell>`, 17 primary navigation entries, and exa
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	115	documentation-mention	no	**The files exist and are correct.** `ECM_DOCS_DEV.zip` (tracked, 16 MB) contains `DGO_Targets_Platform/`, a complete copy of the platform. A recursive diff against the working tree shows `config/` is
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	117	documentation-mention	no	**Fix:** copy the 13 files from `ECM_DOCS_DEV.zip::DGO_Targets_Platform/config/` into `config/` and commit. Verified working. Effort: minutes.
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	220	documentation-mention	no	The README documents a UI-contract suite, a baseline ratchet, three GitHub workflows, a bundle drift check, and a Pages deploy gate. **None of it is in the repository** — and none of it is in `ECM_DOC
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	263	documentation-mention	no	2. **Restore the 13 config modules** from `ECM_DOCS_DEV.zip::DGO_Targets_Platform/config/`. Verified to produce a clean boot and 25/25 route pass.
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	284	documentation-mention	no	- **Zip comparison:** `diff -rq` of `ECM_DOCS_DEV.zip::DGO_Targets_Platform/` against the working tree, per directory.
ECM_DOCS_DEV.zip	CAPABILITY_ASSESSMENT_R11.6.md	299	documentation-mention	no	| `7204da7` | G-01 | Restored the 13 config modules byte-identical from `ECM_DOCS_DEV.zip::DGO_Targets_Platform/config/`. |
ECM_DOCS_DEV.zip	FORENSIC_REPOSITORY_AUDIT.md	243	documentation-mention	no	| `ECM_DOCS_DEV.zip` | 1 | 17 MB, 838 entries — a snapshot of this platform, superseded by the tree it was used to repair |
ECM_DOCS_DEV.zip	FORENSIC_REPOSITORY_AUDIT.md	250	documentation-mention	no	**On the archives:** `ECM_DOCS_DEV.zip` served a real purpose — it was the only source of the 13 config modules restored in commit `7204da7`. That purpose is now discharged. It should be retained *out
ECM_DOCS_DEV.zip	FORENSIC_REPOSITORY_AUDIT.md	332	documentation-mention	no	| 13 | Untrack `ECM_DOCS_DEV.zip` and `HTML_OPS_Templates.zip`; retain externally | 2 |
