referrer	line	referenced_token	classification	resolved_to	gitignore_pattern	quote
.gitignore	7	config/config.local.js	git-ignored-by-design	(none)	config/config.local.js	config/config.local.js
.gitignore	8	document-portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	document-portal/config.local.js
.gitignore	9	ECM_ActivityHub_Portal/config.local.js	git-ignored-by-design	(none)	config/config.local.js	ECM_ActivityHub_Portal/config.local.js
.gitignore	10	ECM_ActivityHub_Portal/htdocs/config.local.js	git-ignored-by-design	(none)	config/config.local.js	ECM_ActivityHub_Portal/htdocs/config.local.js
AUDIT.md	7	document-portal_Central_NITDA_/js/data.js	stale-reference	(none)	(none)	> **1. F-007 and the secrets note are wrong about scope.** This document states no hardcoded `sig=` SAS token was found in shipped code, and the superseding note above says the signatures survive only
AUDIT.md	7	newack/unified-hub-ackflow.html	resolves-inside-tracked-archive	DGO_Targets_References/newack/unified-hub-ackflow.html	(none)	> **1. F-007 and the secrets note are wrong about scope.** This document states no hardcoded `sig=` SAS token was found in shipped code, and the superseding note above says the signatures survive only
AUDIT.md	15	ECM_ActivityHub_Portal/REVIEW.md	stale-reference	(none)	(none)	> **Superseded in part by [`ECM_ActivityHub_Portal/REVIEW.md`](ECM_ActivityHub_Portal/REVIEW.md)** (full multidimensional review at commit `77cb6af`). Every finding below was independently re-verified
AUDIT.md	50	aud_activityhubp_20260728_151904/activityhubp_rpt.html	stale-reference	(none)	(none)	1. `aud_activityhubp_20260728_151904/activityhubp_rpt.html`
AUDIT.md	51	aud_activityhubp_20260728_151904/activityhubp_state.json	stale-reference	(none)	(none)	2. `aud_activityhubp_20260728_151904/activityhubp_state.json`
AUDIT.md	52	aud_activityhubp_20260728_151904/activityhubp_sum.json	stale-reference	(none)	(none)	3. `aud_activityhubp_20260728_151904/activityhubp_sum.json`
AUDIT.md	87	ECM_ActivityHub_Portal/htdocs/js/core/store.js	stale-reference	(none)	(none)	| F-001 | Client-side asserted identity/role used for backend action envelope | Critical | `ECM_ActivityHub_Portal/htdocs/js/core/store.js` | 5-6 | Production identity (`dgceo@nitda.gov.ng`, role `DGC
